,Current adoption %,Current adoption Mha,% new allocation,Total % allocated,New Mha in Solution
Forest Protection,0.23209835076273563,87.1250789093157,0.223042571142527,0.4551409219052627,83.72572035548178
IP Forest Management,0.14831476792211679,55.6743975826042,0.0,0.14831476792211679,0.0
Peatland Protection,0.0011694049009243822,0.43897121170899456,0.13032624637423684,0.13149565127516122,48.92186636396102
Wetland Protection,0.0011175161237047056,0.41949320251627237,0.007501947183117231,0.008619463306821937,2.816080933598546
Managed Grazing,0.0,0.0,0.0,0.0,0.0
Silvopasture,0.0,0.0,0.0,0.0,0.0
Conservation Agriculture,0.0,0.0,0.0,0.0,0.0
Regenerative Agriculture,0.0,0.0,0.0,0.0,0.0
Improved Rice,0.0,0.0,0.0,0.0,0.0
SRI,0.0,0.0,0.0,0.0,0.0
Tropical Forest Restoration,0.0,0.0,0.0,0.0,0.0
Temperate Forest Restoration,0.0,0.0,0.11099271772603966,0.11099271772603966,41.66444638000077
Afforestation,0.09306931736531232,34.93636035259094,0.0,0.09306931736531232,0.0
Bamboo,0.01861372566207139,6.987220339028358,0.0,0.01861372566207139,0.0
Mulitstrata Agroforestry,0.03376839229521102,12.675979099776312,0.0,0.03376839229521102,0.0
Perennial Bioenergy Crops,0.0,0.0,0.0,0.0,0.0
Tropical Tree Staples,0.0,0.0,0.0,0.0,0.0
Biochar,0.0,0.0,0.0,0.0,0.0
Irrigation Efficiency,0.0,0.0,0.0,0.0,0.0
Nutrient Management,0.0,0.0,0.0,0.0,0.0
Smallholder Intensification,0.0,0.0,0.0,0.0,0.0
Tree Intercropping,0.0,0.0,0.0,0.0,0.0
Grassland Protection,0.0,0.0,0.0,0.0,0.0
Farmland Restoration,0.0,0.0,0.0,0.0,0.0
Inaccessible,0.0,0.0,0.0,0.0,0.0
