"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
IPCC WG3 AR5 (2014),http://www.ipcc.ch/report/ar5/wg3/,World,,1  - Peer Reviewed,2014,,0.2,Capacity factor (%),1752.0,TWh/TW/year,,,
REN21 (2015),http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,World,,2 - Public Sector/ Multilateral Agency,2015,,0.1,Capacity factor (%),876.0,TWh/TW/year,,,1.0
REN21 (2015),http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf,World,,2 - Public Sector/ Multilateral Agency,2015,,0.25,Capacity factor (%),2190.0,TWh/TW/year,,,1.0
IRENA 2014,https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf,Asia (Sans Japan),Asia,2 - Public Sector/ Multilateral Agency,2014,,0.14,Capacity factor (%),1226.4,TWh/TW/year,,,1.0
IRENA 2014,https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf,China,China,2 - Public Sector/ Multilateral Agency,2014,,0.17,Capacity factor (%),1489.2,TWh/TW/year,,,1.0
IRENA 2014,https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf,Middle East and Africa,Africa,2 - Public Sector/ Multilateral Agency,2014,,0.22,Capacity factor (%),1927.2,TWh/TW/year,,,1.0
IRENA 2014,https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf,India,India,2 - Public Sector/ Multilateral Agency,2014,,0.21,Capacity factor (%),1839.6,TWh/TW/year,,,1.0
IRENA 2014,https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf,Latin America,South America,2 - Public Sector/ Multilateral Agency,2014,,0.27,Capacity factor (%),2365.2000000000003,TWh/TW/year,,,1.0
IRENA 2014,https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf,USA,USA and Canada,2 - Public Sector/ Multilateral Agency,2014,,0.22,Capacity factor (%),1927.2,TWh/TW/year,,,1.0
"Lazard's LCOE Analysis–Version 10.0, 2016,  Solar PV rooftop RSD",https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/,USA,,3 - For Profit,2016,,0.18,Capacity factor (%),1576.8,TWh/TW/year,,,1.0
"Lazard's LCOE Analysis–Version 10.0, 2016,  Solar PV rooftop RSD",https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/,USA,,3 - For Profit,2016,,0.15,Capacity factor (%),1314.0,TWh/TW/year,,,1.0
"Lazard's LCOE Analysis–Version 10.0, 2016,  Solar PV rooftop RSD",https://www.lazard.com/perspective/levelized-cost-of-energy-analysis-100/,USA,,3 - For Profit,2016,,0.25,Capacity factor (%),2190.0,TWh/TW/year,,,1.0
