,Current adoption %,Current adoption Mha,% new allocation,Total % allocated,New Mha in Solution
Peatland Protection,0.0,0.0,0.01717709442718875,0.01717709442718875,0.22759650116025093
Mangrove Protection,0.0,0.0,0.0,0.0,0.0
IP Forest Management,0.0,0.0,0.0,0.0,0.0
Forest Protection,0.0,0.0,0.0,0.0,0.0
Sustainable Forest Management,0.0,0.0,0.0,0.0,0.0
Peatland Restoration,0.0,0.0,0.0,0.0,0.0
Mangrove Restoration,0.0,0.0,0.0,0.0,0.0
Tropical Forest Restoration,0.0,0.0,0.0,0.0,0.0
Temperate Forest Restoration,0.0,0.0,0.0,0.0,0.0
Afforestation,0.0,0.0,0.0,0.0,0.0
Bamboo,0.0,0.0,0.0,0.0,0.0
Grassland Protection,0.0,0.0,0.0,0.0,0.0
Multistrata Agroforestry,0.09040576014309869,1.1978763218960575,0.0,0.09040576014309869,0.0
Silvopasture,0.0,0.0,0.0,0.0,0.0
Managed Grazing,0.0,0.0,0.0,0.0,0.0
Tropical Tree Staples,0.045202880071549344,0.5989381609480288,0.0,0.045202880071549344,0.0
Farmland Restoration,0.0,0.0,0.0,0.0,0.0
Perennial Bioenergy Crops,0.0,0.0,0.0,0.0,0.0
Livestock Feed,0.0,0.0,0.0,0.0,0.0
SRI,0.003660541294257073,0.04850217214890622,0.04335045398015425,0.04701099527441132,0.5743935152370437
Improved Rice,0.028274703009517767,0.3746398148761104,0.07207569074932176,0.10035039375883953,0.9550029024285133
Conservation Agriculture,0.09847553201954194,1.3048007992589308,0.5208039249606841,0.619279456980226,6.9006520057290635
Regenerative Agriculture,0.009076738318367106,0.12026678271836416,0.6102027186618589,0.619279456980226,8.085186022269632
Tree Intercropping,0.0805734193446864,1.0675978063170948,0.0,0.0805734193446864,0.0
Biochar,0.0,0.0,0.0,0.0,0.0
Irrigation Efficiency,0.034935302566456175,0.46289275900554433,0.18253044816895436,0.21746575073541052,2.418528438238645
Nutrient Management,0.09445727877531049,1.251558943772864,0.8555412588776785,0.949998537652989,11.33592168012924
Smallholder Intensification,0.0027909591071208096,0.03698020816935073,0.04721050323989018,0.050001462347010986,0.6255391679285449
Sustainable Intensification,0.0,0.0,0.0,0.0,0.0
